0,800781
0,885014
0,891961
0,908111
0,914762
0,922286
0,935716
0,952806
0,953039
0,953393
0,957902
0,96368
0,964263
0,975634
0,984205
0,999312
1,01955
1,03232
1,03432
1,03479
1,03549
1,03861
1,04982
1,05939
1,06089
1,06109
1,06347
1,06472
1,06519
1,08531
1,10313
1,10387
1,10966
1,11058
1,11434
1,11585
1,11614
1,12031
1,12071
1,12495
1,13136
1,13881
1,14137
1,14168
1,14989
1,15166
1,15243
1,16008
1,16387
1,16565
1,17272
1,17816
1,18462
1,18511
1,18918
1,19063
1,19342
1,19613
1,20194
1,20261
1,20333
1,20816
1,21244
1,21329
1,21508
1,21976
1,22115
1,22339
1,22511
1,22929
1,23046
1,26125
1,26215
1,26561
1,26672
1,27366
1,27424
1,27494
1,27679
1,27712
1,28021
1,28165
1,29806
1,29991
1,30776
1,31498
1,31855
1,32339
1,33674
1,34753
1,35012
1,36645
1,39192
1,40184
1,40438
1,40509
1,41952
1,44087
1,46876
1,69865
